session_id,label,label_source,rater
demo_driver_dominance_38,DRIVER_DOMINANCE,synthetic,generator
demo_driver_dominance_39,DRIVER_DOMINANCE,synthetic,generator
demo_passive_navigator_00,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_01,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_02,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_03,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_04,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_05,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_06,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_07,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_08,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_09,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_10,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_11,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_12,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_13,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_14,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_15,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_16,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_17,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_18,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_19,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_20,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_21,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_22,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_23,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_24,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_25,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_26,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_27,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_28,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_29,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_30,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_31,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_32,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_33,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_34,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_35,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_36,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_37,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_38,PASSIVE_NAVIGATOR,synthetic,generator
demo_passive_navigator_39,PASSIVE_NAVIGATOR,synthetic,generator
demo_logic_struggle_00,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_01,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_02,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_03,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_04,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_05,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_06,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_07,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_08,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_09,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_10,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_11,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_12,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_13,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_14,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_15,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_16,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_17,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_18,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_19,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_20,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_21,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_22,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_23,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_24,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_25,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_26,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_27,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_28,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_29,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_30,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_31,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_32,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_33,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_34,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_35,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_36,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_37,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_38,LOGIC_STRUGGLE,synthetic,generator
demo_logic_struggle_39,LOGIC_STRUGGLE,synthetic,generator
demo_disengaged_00,DISENGAGED,synthetic,generator
demo_disengaged_01,DISENGAGED,synthetic,generator
demo_disengaged_02,DISENGAGED,synthetic,generator
demo_disengaged_03,DISENGAGED,synthetic,generator
demo_disengaged_04,DISENGAGED,synthetic,generator
demo_disengaged_05,DISENGAGED,synthetic,generator
demo_disengaged_06,DISENGAGED,synthetic,generator
demo_disengaged_07,DISENGAGED,synthetic,generator
demo_disengaged_08,DISENGAGED,synthetic,generator
demo_disengaged_09,DISENGAGED,synthetic,generator
demo_disengaged_10,DISENGAGED,synthetic,generator
demo_disengaged_11,DISENGAGED,synthetic,generator
demo_disengaged_12,DISENGAGED,synthetic,generator
demo_disengaged_13,DISENGAGED,synthetic,generator
demo_disengaged_14,DISENGAGED,synthetic,generator
demo_disengaged_15,DISENGAGED,synthetic,generator
demo_disengaged_16,DISENGAGED,synthetic,generator
demo_disengaged_17,DISENGAGED,synthetic,generator
demo_disengaged_18,DISENGAGED,synthetic,generator
demo_disengaged_19,DISENGAGED,synthetic,generator
demo_disengaged_20,DISENGAGED,synthetic,generator
demo_disengaged_21,DISENGAGED,synthetic,generator
demo_disengaged_22,DISENGAGED,synthetic,generator
demo_disengaged_23,DISENGAGED,synthetic,generator
demo_disengaged_24,DISENGAGED,synthetic,generator
demo_disengaged_25,DISENGAGED,synthetic,generator
demo_disengaged_26,DISENGAGED,synthetic,generator
demo_disengaged_27,DISENGAGED,synthetic,generator
demo_disengaged_28,DISENGAGED,synthetic,generator
demo_disengaged_29,DISENGAGED,synthetic,generator
demo_disengaged_30,DISENGAGED,synthetic,generator
demo_disengaged_31,DISENGAGED,synthetic,generator
demo_disengaged_32,DISENGAGED,synthetic,generator
demo_disengaged_33,DISENGAGED,synthetic,generator
demo_disengaged_34,DISENGAGED,synthetic,generator
demo_disengaged_35,DISENGAGED,synthetic,generator
demo_disengaged_36,DISENGAGED,synthetic,generator
demo_disengaged_37,DISENGAGED,synthetic,generator
demo_disengaged_38,DISENGAGED,synthetic,generator
demo_disengaged_39,DISENGAGED,synthetic,generator
